Date,Open,High,Low,Close,Adj Close,Volume,Nombre
07/01/21,0.321,0.321,0.311,0.317,0.317,34703,Grupo_Famsa
08/01/21,0.314,0.338,0.314,0.337,0.337,133145,Grupo_Famsa
11/01/21,0.337,0.337,0.325,0.329,0.329,97822,Grupo_Famsa
12/01/21,0.326,0.336,0.315,0.336,0.336,403821,Grupo_Famsa
13/01/21,0.33,0.335,0.32,0.321,0.321,49865,Grupo_Famsa
14/01/21,0.32,0.32,0.31,0.319,0.319,55240,Grupo_Famsa
15/01/21,0.317,0.325,0.317,0.324,0.324,38588,Grupo_Famsa
18/01/21,0.334,0.334,0.324,0.33,0.33,99825,Grupo_Famsa
19/01/21,0.328,0.329,0.32,0.329,0.329,88623,Grupo_Famsa
20/01/21,0.332,0.339,0.324,0.335,0.335,158218,Grupo_Famsa
21/01/21,0.339,0.339,0.317,0.331,0.331,97843,Grupo_Famsa
22/01/21,0.335,0.339,0.335,0.337,0.337,35199,Grupo_Famsa
25/01/21,0.339,0.347,0.336,0.347,0.347,108723,Grupo_Famsa
26/01/21,0.347,0.349,0.335,0.345,0.345,130082,Grupo_Famsa
27/01/21,0.342,0.345,0.325,0.331,0.331,133330,Grupo_Famsa
28/01/21,0.33,0.331,0.311,0.328,0.328,152448,Grupo_Famsa
29/01/21,0.328,0.335,0.315,0.325,0.325,241561,Grupo_Famsa
02/02/21,0.32,0.325,0.315,0.315,0.315,52316,Grupo_Famsa
03/02/21,0.32,0.36,0.32,0.36,0.36,280717,Grupo_Famsa
04/02/21,0.371,1.07,0.371,0.481,0.481,3616322,Grupo_Famsa
05/02/21,0.48,0.849,0.48,0.772,0.772,7873732,Grupo_Famsa
08/02/21,0.772,0.998,0.645,0.925,0.925,6985614,Grupo_Famsa
09/02/21,0.939,1,0.75,0.845,0.845,3627892,Grupo_Famsa
10/02/21,0.849,0.85,0.69,0.772,0.772,1657680,Grupo_Famsa
11/02/21,0.77,0.796,0.72,0.731,0.731,630946,Grupo_Famsa
12/02/21,0.75,0.79,0.74,0.74,0.74,669333,Grupo_Famsa
15/02/21,0.74,0.768,0.739,0.754,0.754,161140,Grupo_Famsa
16/02/21,0.754,0.754,0.64,0.671,0.671,1918409,Grupo_Famsa
17/02/21,0.675,0.675,0.446,0.484,0.484,3544335,Grupo_Famsa
18/02/21,0.473,0.59,0.472,0.496,0.496,1463790,Grupo_Famsa
19/02/21,0.496,0.534,0.441,0.48,0.48,687427,Grupo_Famsa
22/02/21,0.474,0.474,0.441,0.445,0.445,1467714,Grupo_Famsa
23/02/21,0.448,0.47,0.44,0.46,0.46,556013,Grupo_Famsa
24/02/21,0.466,0.466,0.389,0.39,0.39,903371,Grupo_Famsa
25/02/21,0.39,0.425,0.365,0.395,0.395,1527758,Grupo_Famsa
26/02/21,0.399,0.399,0.35,0.377,0.377,1745272,Grupo_Famsa
01/03/21,0.38,0.38,0.36,0.371,0.371,364405,Grupo_Famsa
02/03/21,0.371,0.54,0.371,0.51,0.51,2136906,Grupo_Famsa
03/03/21,0.514,0.588,0.462,0.5,0.5,3325853,Grupo_Famsa
04/03/21,0.505,0.548,0.44,0.481,0.481,1758972,Grupo_Famsa
05/03/21,0.481,0.5,0.44,0.45,0.45,512296,Grupo_Famsa
08/03/21,0.449,0.53,0.44,0.52,0.52,1301533,Grupo_Famsa
09/03/21,0.531,0.62,0.53,0.618,0.618,2624421,Grupo_Famsa
10/03/21,0.621,0.638,0.545,0.567,0.567,1198407,Grupo_Famsa
11/03/21,0.567,0.578,0.545,0.549,0.549,433499,Grupo_Famsa
12/03/21,0.57,0.575,0.554,0.567,0.567,369425,Grupo_Famsa
16/03/21,0.584,0.59,0.553,0.58,0.58,538725,Grupo_Famsa
